dataset,rule_set,windows,taken,wins,losses,skips,accuracy,trade_rate
Genesis-019,Native old models,453,238,216,22,215,90.8,52.5
Genesis-019,V31 active proxy,453,272,243,29,181,89.3,60.0
Genesis-019,V32 regime proxy,453,260,233,27,193,89.6,57.4
Genesis-019,V33 pro trader proxy,453,249,224,25,204,90.0,55.0
Genesis-020,Native old models,450,236,214,22,214,90.7,52.4
Genesis-020,V31 active proxy,450,270,241,29,180,89.3,60.0
Genesis-020,V32 regime proxy,450,258,231,27,192,89.5,57.3
Genesis-020,V33 pro trader proxy,450,248,223,25,202,89.9,55.1
Genesis-027,Native old models,364,193,179,14,171,92.7,53.0
Genesis-027,V31 active proxy,364,221,202,19,143,91.4,60.7
Genesis-027,V32 regime proxy,364,216,199,17,148,92.1,59.3
Genesis-027,V33 pro trader proxy,364,211,194,17,153,91.9,58.0
